"hospital_code","service_plan","bed_all","bed_icu","bed_nicu","bed_ccu","bed_icu_otherwards","bed_icu_all","operation_room","cmi_2015","ip_2015","day_spent_2015","totaladjrw_2015","op_visit_2015"
22302,"F2",38,0,0,0,0,0,1,0.56,1477,4886,823.13,75672
10924,"F2",115,0,0,0,0,0,2,0.55,12681,35418,6923.83,108437
10921,"F2",44,0,0,0,0,0,1,0.55,2410,7054,1333.94,77382
10925,"F2",48,0,0,0,0,0,1,0.53,4328,12437,2304.66,97171
27842,"F3",30,0,0,0,0,0,0,0.49,1909,4680,936.75,45709
27844,"F3",25,0,0,0,0,0,0,0.46,2541,5079,1176.74,60340
27843,"F3",30,0,0,0,0,0,0,0.53,2142,1710,1057,56668
10712,"S",301,13,6,0,0,19,8,1.22,25594,102379,15448.97,263456
11116,"F2",30,0,0,0,2,2,1,0.57,2590,8912,775.4,68409
11115,"F2",30,0,0,0,0,0,1,0.61,2104,4511,727.09,48262
11114,"F2",30,0,0,0,0,0,1,0.52,2143,6987,628.43,57993
11113,"F2",30,0,0,0,0,0,1,0.49,2167,6212,580.04,74327
11118,"F2",30,0,0,0,0,0,1,0.47,2253,6789,651.79,45904
11117,"F2",30,0,0,0,0,0,1,0.43,2457,4130,380.89,54171
10701,"S",305,16,8,0,0,24,10,1.21,35841,109896,43407.04,347765
11444,"F1",100,8,0,0,0,8,2,0.73,9749,27047,6344.05,157817
10964,"F2",35,0,0,0,0,0,1,0.57,3746,9241,2354.93,76616
10968,"F2",34,0,0,0,0,0,1,0.61,1909,6230,1167.35,63276
10965,"F2",37,0,0,0,0,0,1,0.52,3665,9485,1898.51,115800
10963,"F2",36,0,0,0,0,0,0,0.62,1727,4512,1259.02,48174
10966,"F2",36,0,0,0,0,0,1,0.56,1552,4830,989.4,64318
10967,"F2",36,0,0,0,0,0,1,0.51,4221,9702,2173.39,101397
10969,"F3",13,0,0,0,0,0,1,0.62,1367,3391,848.63,51916
10700,"S",689,20,8,2,24,54,8,1.47,51231,228835,75383.98,470569
10929,"M2",204,8,4,0,0,12,4,0.59,16325,62208,9705.44,224412
10930,"M2",109,4,0,0,0,4,2,0.82,10178,37026,8352.36,188747
10935,"M2",100,0,0,0,0,0,1,0.72,9130,28894,6536.58,157405
10933,"F1",94,0,0,0,0,0,1,0.67,9045,27583,6062.26,169748
10934,"F1",94,0,0,0,0,0,2,0.8,8042,29112,6346.94,137552
10928,"F1",90,0,0,0,0,0,1,0.63,7635,20582,4819.86,168342
10941,"F2",33,0,0,0,0,0,1,0.65,2432,7624,1549.21,63322
10938,"F2",30,0,0,0,0,0,1,0.6,2056,5596,1222.66,62894
10936,"F2",30,0,0,0,0,0,1,0.64,1849,5230,1180.38,46899
23125,"F2",30,4,0,0,0,4,1,0.73,1872,6488,1364.55,68926
10932,"F2",40,0,0,0,0,0,1,0.71,5701,12729,4038.52,96863
10931,"F2",36,0,0,0,0,0,1,0.64,3214,11546,2043.4,83623
10942,"F2",36,0,0,0,0,0,1,0.55,2768,7350,1513.62,88362
10943,"F2",30,0,0,0,0,0,1,0.74,1769,5759,1308.02,42417
10927,"F2",30,0,0,0,0,0,1,0.6,2962,7372,1762.06,75349
10940,"F2",37,0,0,0,0,0,1,0.65,2472,6734,1595.57,76326
10939,"F2",65,0,0,0,0,0,1,0.57,5680,16386,3215.97,104601
10937,"F2",30,0,0,0,0,0,1,0.54,2869,6701,1559.68,65729
28014,"F3",10,0,0,0,0,0,0,0.63,1170,2144,720.55,50058
28015,"F3",21,0,0,0,0,0,1,0.87,2120,4589,1827.3,32968
28016,"F3",0,0,0,0,0,0,0,NA,NA,NA,NA,20128
10703,"S",349,9,5,0,0,14,7,1.07,26329,117796,28108.84,378167
10985,"F2",35,0,0,0,0,0,1,0.52,2672,7547,1396.12,66004
10986,"F2",30,0,0,0,0,0,1,0.57,3271,10763,1870.85,94800
10987,"F2",30,0,0,0,0,0,1,0.6,1787,5420,1077.02,74106
10990,"F2",30,0,0,0,0,0,1,0.59,2542,8389,1498,82622
10988,"F2",30,0,0,0,0,0,1,0.53,2384,6703,1254.22,74761
10989,"F2",38,0,0,0,0,0,1,0.61,3903,12474,2382.78,91581
10669,"A",1218,250,32,28,190,500,25,2.09,99068,520062,207371.14,939959
21984,"S",150,10,0,0,0,10,4,0.91,9731,33789,8964.54,185787
10954,"M1",209,5,0,0,0,5,4,0.91,14797,58750,14196.36,318417
11443,"M1",288,0,0,0,0,0,4,0.85,24383,97758,20280.54,299813
10951,"M2",135,6,0,0,0,6,3,0.72,8989,33001,6344.55,223169
10956,"M2",105,2,0,0,0,2,2,0.61,9972,38827,5596.23,277612
10952,"F2",41,0,0,0,0,0,1,0.6,2888,8518,1879.01,94175
10947,"F2",78,0,0,0,0,0,2,0.55,5677,16536,3326.62,206369
10946,"F2",64,0,0,0,0,0,1,0.62,5393,19609,3595.77,206319
10945,"F2",30,0,0,0,0,0,1,0.54,2401,7648,1338.16,66521
10960,"F2",28,0,0,0,0,0,1,0.57,1714,6034,949.07,77264
10957,"F2",30,0,0,0,0,0,1,0.56,1234,3956,723.86,67396
10962,"F2",25,0,0,0,0,0,1,0.49,1543,4382,791.36,70217
10948,"F2",36,0,0,0,0,0,1,0.53,3536,9499,1759.48,100931
10949,"F2",60,0,0,0,0,0,1,0.48,6207,17250,3062.85,147468
10950,"F2",47,0,0,0,0,0,1,0.56,4918,17667,2641.86,144771
10958,"F2",34,0,0,0,0,0,1,0.67,2875,7920,2067.25,86687
10953,"F2",60,0,0,0,0,0,1,0.62,5767,16414,3534.31,135556
10944,"F2",60,0,0,0,0,0,1,0.53,3484,11170,1894.69,137792
10959,"F2",30,0,0,0,0,0,1,0.52,3134,8791,1730.12,134052
10961,"F2",37,0,0,0,0,0,1,0.61,3169,9809,2182.84,92223
24032,"F3",11,0,0,0,0,0,0,0.59,1078,3183,670.73,63962
24821,"F3",13,0,0,0,0,0,0,0.65,1025,2720,671.41,61171
27968,"F3",10,0,0,0,0,0,0,0.52,1040,2872,549.7,51001
27967,"F3",10,0,0,0,0,0,1,0.69,785,2561,548.97,52665
27976,"F3",11,0,0,0,0,0,0,0.58,625,2347,382.78,36703
10738,"S",341,10,0,0,0,10,7,1.14,21907,129689,25675,331955
11340,"F2",30,0,0,0,0,0,0,0.59,3260,8410,1927,84910
11342,"F2",30,0,0,0,0,0,1,0.52,5705,20858,2987,114655
11344,"F2",30,0,0,0,0,0,0,0.6,2892,NA,1722,67093
11345,"F2",30,0,0,0,0,0,0,0.5,2626,8181,1320,86316
11346,"F2",30,0,0,0,0,0,0,0.5,3113,NA,1568,91722
11343,"F2",60,0,0,0,0,0,1,0.54,6175,NA,3344,100635
77753,"F3",10,0,0,0,0,0,0,0.5,18,NA,9,8600
11341,"F3",10,0,0,0,0,0,0,0.46,1070,NA,490,35584
10744,"S",509,8,8,8,19,43,7,1.26,33463,121748,41948.71,671237
11379,"M2",120,8,0,0,0,8,2,0.87,9008,34889,7267.05,234188
11376,"F2",60,0,0,0,0,0,1,0.53,3930,14709,536.9,364217
11377,"F2",60,0,0,0,0,0,1,0.43,3473,13646,1500.34,134385
11382,"F2",30,0,0,0,0,0,1,0.54,1488,4013,797.68,110615
11381,"F2",30,0,0,0,0,0,1,0.56,2640,7115,1467.93,159930
11383,"F2",60,0,0,0,0,0,1,0.59,3414,9886,2012.55,287215
11385,"F3",10,0,0,0,0,0,1,0.45,2079,4933,911.77,96887
11375,"F3",10,0,0,0,0,0,1,0.44,1939,5450,836.65,81881
11380,"F3",10,0,0,0,0,0,1,0.59,1151,3550,613.1,103363
11378,"F3",10,0,0,0,0,0,1,0.4,2756,7453,1120.39,85187
10680,"A",701,19,10,3,0,32,18,1.56,49853,241671,77633.64,595925
11330,"M1",234,6,4,0,0,10,4,0.93,18928,82372,20824,283077
11335,"M1",195,8,1,0,0,9,5,0.9,17140,71801,15493,214826
11329,"M2",138,4,2,0,0,6,4,0.83,15644,52261,12969,259331
11333,"M2",118,0,0,0,0,0,1,0.59,5065,17839,2981,148433
11325,"M2",104,0,0,0,0,0,2,0.61,6424,18860,2351,142196
11328,"F1",60,0,0,0,0,0,0,0.47,7691,23512,3571,152992
11327,"F1",62,0,0,0,0,0,1,0.58,3592,15634,2431,124753
11332,"F1",63,0,0,0,0,0,2,0.49,3829,11237,2018,122156
11334,"F1",50,0,0,0,0,0,0,0.47,55567,16619,2602,126061
11336,"F2",62,0,0,0,0,0,1,0.47,5021,14743,2345,94376
11660,"F2",34,0,0,0,0,0,0,0.47,1140,4747,771,61584
11331,"F2",30,0,0,0,0,0,1,0.48,3557,8464,970,15274
11338,"F2",30,0,0,0,0,0,0,0.43,3105,5855,1073,83088
11322,"F2",30,0,0,0,0,0,1,0.46,2538,10219,1533,78708
11326,"F2",33,0,0,0,0,0,1,0.61,2375,8601,1794,87359
11324,"F2",30,0,0,0,0,0,1,0.6,3619,12615,2826,123584
11337,"F2",60,0,0,0,0,0,2,0.49,4957,11795,2439,78744
40491,"F3",0,0,0,0,0,0,0,NA,NA,NA,NA,NA
11339,"F3",15,0,0,0,0,0,0,0.46,902,2959,501,42252
40742,"F3",0,0,0,0,0,0,0,NA,NA,NA,NA,NA
40743,"F3",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40492,"F3",0,0,0,0,0,0,0,NA,NA,NA,NA,NA
10739,"S",215,8,5,0,0,13,5,1,14867,59234,14932.41,235067
10740,"M1",187,8,6,0,0,14,5,0.93,12079,45924,11292.66,164716
11348,"F2",30,0,0,0,0,0,1,0,0,NA,0,34091
11347,"F2",30,0,0,0,0,0,0,0.39,636,1452,246.2,30996
11352,"F2",30,0,0,0,0,0,1,0.6,1726,3157,1030.42,51559
11349,"F2",30,0,0,0,0,0,1,0.61,1929,6473,1180,83840
11353,"F2",30,0,0,0,0,0,1,NA,NA,NA,NA,58057
11354,"F2",30,0,0,0,0,0,1,0.57,2307,7914,1312,65928
11350,"F3",10,0,0,0,0,0,1,0.62,232,1378,144,28667
10741,"A",551,18,8,8,0,34,12,1.34,32814,202543,50208.93,503509
11355,"M2",60,0,0,0,0,0,3,0.55,4151,11706,2296.33,1627
11356,"F1",75,0,0,0,0,0,1,0.45,5711,17848,2582,171440
10743,"S",300,8,6,0,0,14,4,1.09,19263,76734,19374.11,324487
11373,"F2",48,0,0,0,0,0,1,0.48,3603,8426,1712.88,89825
11372,"F2",30,0,0,0,0,0,1,0.47,1999,5337,781.16,55825
11323,"F3",12,0,0,0,0,0,0,0.44,676,1744,299.47,25257
11374,"F3",24,0,0,0,0,0,0,0.51,1192,3168,560.12,26640
10681,"A",780,12,16,9,48,85,14,1.67,60961,281624,102044,610151
10742,"M1",126,4,0,0,0,4,4,0.79,13497,47462,10664,224291
11357,"M2",120,8,0,0,0,8,2,0.63,9877,35204,6248,227166
11360,"M2",70,0,0,0,0,0,1,0.5,5065,13984,2511,127588
14138,"M2",73,0,0,0,0,0,0,0.48,4599,15263,2224.08,141209
11366,"M2",77,0,0,0,0,0,1,0.56,6155,17185,3474.5,174922
11459,"M2",110,0,0,0,0,0,2,0.59,7329,23472,4316.05,152034
11359,"F2",33,0,0,0,0,0,0,0.44,2507,6018,649,58456
11362,"F2",30,0,0,0,0,0,1,0.44,4497,10390,2012,98444
11368,"F2",44,0,0,0,0,0,1,0.52,4415,11754,2309.05,110792
11371,"F2",30,0,0,0,0,0,0,0.5,2726,6901,1357,85744
11358,"F2",30,0,0,0,0,0,1,0.54,2671,6649,1452,91702
11365,"F2",28,0,0,0,0,0,0,0.55,2420,6242,1328,82950
11361,"F2",30,0,0,0,0,0,0,0.45,4232,13529,1904,103914
11367,"F2",30,0,0,0,0,0,0,0.52,2100,6171,1100.32,90650
11364,"F2",46,0,0,0,0,0,0,0.49,3517,9766,1718,77508
11369,"F2",60,0,0,0,0,0,1,0.54,5235,13973,2819,142552
11370,"F2",83,0,0,0,0,0,1,0.49,4660,17017,2301.11,119551
11654,"F2",30,0,0,0,0,0,0,0.4,2095,5466,840,57504
11363,"F3",41,0,0,0,0,0,0,0.42,3331,9775,1405,72973
10683,"A",551,14,8,2,7,31,9,1.41,47030,201926,66251.16,557693
11411,"M2",90,0,0,0,0,0,1,0.49,10498,27614,5129.32,193368
11408,"F1",60,0,0,0,0,0,1,0.47,7188,17030,3376.92,141060
11407,"F1",60,0,0,0,0,0,2,0.52,10560,22730,5492.26,192859
11413,"F2",60,0,0,0,0,0,1,0.5,6690,15864,3316.23,111153
11409,"F2",30,0,0,0,0,0,1,0.47,6601,12728,3126.23,116931
14139,"F2",30,0,0,0,0,0,1,0.44,3653,8113,1617.18,73750
11412,"F2",30,0,0,0,0,0,1,0.43,4144,9032,1786.48,82475
11410,"F2",60,0,0,0,0,0,1,0.51,5027,12208,2573.32,90304
28817,"F3",0,0,0,0,0,0,0,NA,NA,NA,NA,45686
10750,"S",407,10,13,8,12,43,8,1.12,30247,141008,33734.62,376899
10751,"M1",208,8,5,0,0,13,4,1.03,15185,62244,15563.84,267951
11435,"F1",60,0,0,0,0,0,1,0.46,6779,22208,3095.51,164878
11437,"F1",85,0,0,0,0,0,1,0.48,9751,30286,4661.56,154797
13818,"F2",37,0,0,0,0,0,0,0.46,6030,17127,2492.2,69650
15010,"F2",30,0,0,0,0,0,0,0.48,2873,9923,1437.65,53812
11436,"F2",30,0,0,0,0,0,0,0.48,5843,15138,2777.29,103675
23771,"F2",36,0,0,0,0,0,0,0.57,4557,13861,2573.63,76907
11438,"F2",62,0,0,0,0,0,0,0.47,9317,26004,4312,116730
11440,"F2",36,0,0,0,0,0,0,0.49,4469,12563,2188.47,88637
