"","vehicle_1","nb_cases_0","nb_cases_1","nb_days_0","nb_days_1","avg_days_0","avg_days_1","p"
"1","bicycle",5580,2327,1348,959,0.2415770609319,0.412118607649334,0
"2","car_taxi",3518,1109,1048,517,0.297896532120523,0.466185752930568,0
"3","motorcycle",89278,59101,23508,27367,0.263312350187056,0.463054770646859,0
"4","none",3246,962,1052,526,0.324091189155884,0.546777546777547,0
"5","pickup_truck",7246,2685,2143,1178,0.295749378967706,0.438733705772812,0
