"","vehicle_1","nb_cases_0","nb_cases_1","nb_deaths_0","nb_deaths_1","avg_deaths_0","avg_deaths_1","p"
"1","bicycle",5580,2327,37,37,0.00663082437275986,0.0159003008165019,0
"2","car_taxi",3518,1109,46,19,0.0130756111426947,0.0171325518485122,0.39
"3","motorcycle",89278,59101,479,705,0.00536526355877148,0.0119287321703524,0
"4","none",3246,962,68,35,0.0209488601355514,0.0363825363825364,0.01
"5","pickup_truck",7246,2685,104,66,0.0143527463428098,0.0245810055865922,0
